TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
Y2u27VwoOeKWYTnMgvw2,2/1/2024,Women,Women's Basketball,-1.0769,3225.541,-851.5137,1830.0,-0.7058,1.0,Basketball,0.0
gdwSkI8Ew8RKYNU8SpF2,12/27/2023,Women,Women's Basketball,-1.0444,3277.401,-874.687,2027.0,-0.6987,1.0,Basketball,0.0
m8NzNTX9a1rYe9WYAUUs,10/30/2023,Women,Women's Basketball,-1.1464,3335.26,-954.7603,1925.0,-0.746,1.0,Basketball,0.0
kfSJLA5KvXWD08AtQxYC,9/18/2023,Women,Women's Basketball,-1.2604,3303.985,-1096.763,2014.0,-0.7817,1.0,Basketball,0.0
OgeRnfdA6jZLiissvFPD,10/16/2023,Women,Women's Basketball,-1.1567,3281.257,-959.776,1917.0,-0.7586,1.0,Basketball,0.0
MZHEXlvyzPjnfbTiSVIz,9/18/2023,Women,Women's Basketball,-0.9909,3359.099,-848.43,2181.0,-0.6756,1.0,Basketball,0.0
uP4zPVPcWsZ91d1kFRff,10/16/2023,Women,Women's Basketball,-1.2103,3346.049,-1085.131,2069.0,-0.7612,1.0,Basketball,0.0
0T9kOmGWsOmogTAq89En,1/18/2024,Women,Women's Basketball,-1.1934,3112.86,-981.126,1886.0,-0.7805,1.0,Basketball,0.0
q91aJqZz64ddo9XmWVJv,12/4/2023,Women,Women's Basketball,-1.155,3239.503,-1017.072,2070.0,-0.7552,1.0,Basketball,0.0
1MhgNU5wTyh1K96Yx9g2,12/11/2023,Women,Women's Basketball,-1.2045,3639.094,-1096.07,2168.0,-0.7729,1.0,Basketball,0.0
6n9LQRmnRU2CcQ0C4qLM,1/1/2024,Women,Women's Basketball,-1.0207,3295.857,-822.0692,1896.0,-0.6772,1.0,Basketball,0.0
kN8CdT0driGVX2I9EjmP,1/4/2024,Women,Women's Basketball,-1.1318,3268.516,-975.2437,2054.0,-0.7496,1.0,Basketball,0.0
fxuvZB9SQQPhQnu9DPsd,1/1/2024,Women,Women's Basketball,-1.0441,3398.127,-838.4119,1892.0,-0.685,1.0,Basketball,0.0
