TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
bNFu02RMm9wHdjhjezlc,1/8/2024,Men,Men's Swimming & Diving,-1.2689,4497.964,-1050.199,1800.0,-0.8142,0.0,Swimming & Diving,0.0
wSJi7OOxRrmmYw8KVdY1,12/4/2023,Men,Men's Swimming & Diving,-1.4214,4619.096,-1310.17,2036.0,-0.9004,0.0,Swimming & Diving,0.0
wSJi7OOxRrmmYw8KVdY1,12/4/2023,Men,Men's Swimming & Diving,-1.4214,4619.096,-1310.17,2036.0,-0.9004,0.0,Swimming & Diving,0.0
xTimZvQlWorwF0r2xBxu,2/12/2024,Men,Men's Swimming & Diving,-1.3909,4616.728,-1288.134,2076.0,-0.8932,0.0,Swimming & Diving,0.0
xTimZvQlWorwF0r2xBxu,2/12/2024,Men,Men's Swimming & Diving,-1.3909,4616.728,-1288.134,2076.0,-0.8932,0.0,Swimming & Diving,0.0
pZVtULB1ZuLbaM7VCSen,1/8/2024,Men,Men's Swimming & Diving,-1.4073,4523.274,-1242.202,1907.0,-0.877,0.0,Swimming & Diving,0.0
pZVtULB1ZuLbaM7VCSen,1/8/2024,Men,Men's Swimming & Diving,-1.4073,4523.274,-1242.202,1907.0,-0.877,0.0,Swimming & Diving,0.0
tpFfSF39ToXmKzl7RQVh,2/5/2024,Men,Men's Swimming & Diving,-1.4112,4693.479,-1327.298,2051.0,-0.8731,0.0,Swimming & Diving,0.0
tpFfSF39ToXmKzl7RQVh,2/5/2024,Men,Men's Swimming & Diving,-1.4112,4693.479,-1327.298,2051.0,-0.8731,0.0,Swimming & Diving,0.0
rJPpp79JhJWi0OBxq64q,2/5/2024,Men,Men's Swimming & Diving,-1.1996,4670.738,-1065.632,2001.0,-0.7887,0.0,Swimming & Diving,0.0
rJPpp79JhJWi0OBxq64q,2/5/2024,Men,Men's Swimming & Diving,-1.1996,4670.738,-1065.632,2001.0,-0.7887,0.0,Swimming & Diving,0.0
I5HwxIbpFvWF5zlkZyMT,11/6/2023,Men,Men's Swimming & Diving,-1.2621,4792.998,-1116.088,1948.0,-0.825,0.0,Swimming & Diving,0.0
I5HwxIbpFvWF5zlkZyMT,11/6/2023,Men,Men's Swimming & Diving,-1.2621,4792.998,-1116.088,1948.0,-0.825,0.0,Swimming & Diving,0.0
G0Af8EWI5gx32KOSnU4t,11/6/2023,Men,Men's Swimming & Diving,-1.2108,5055.532,-1061.701,1877.0,-0.7779,0.0,Swimming & Diving,0.0
G0Af8EWI5gx32KOSnU4t,11/6/2023,Men,Men's Swimming & Diving,-1.2108,5055.532,-1061.701,1877.0,-0.7779,0.0,Swimming & Diving,0.0
ojek9iDSh3GkMZCd4FDp,1/22/2024,Men,Men's Swimming & Diving,-1.4512,4530.408,-1335.63,1986.0,-0.9046,0.0,Swimming & Diving,0.0
ojek9iDSh3GkMZCd4FDp,1/22/2024,Men,Men's Swimming & Diving,-1.4512,4530.408,-1335.63,1986.0,-0.9046,0.0,Swimming & Diving,0.0
hO1qV1Bb9YYZKWDpxZMA,1/22/2024,Men,Men's Swimming & Diving,-1.3435,4696.963,-1210.66,1944.0,-0.8436,0.0,Swimming & Diving,0.0
hO1qV1Bb9YYZKWDpxZMA,1/22/2024,Men,Men's Swimming & Diving,-1.3435,4696.963,-1210.66,1944.0,-0.8436,0.0,Swimming & Diving,0.0
QQ1foEZcOjZTHtUGH8Mw,3/4/2024,Men,Men's Swimming & Diving,-1.2994,4486.52,-1151.391,1949.0,-0.8258,0.0,Swimming & Diving,0.0
QQ1foEZcOjZTHtUGH8Mw,3/4/2024,Men,Men's Swimming & Diving,-1.2994,4486.52,-1151.391,1949.0,-0.8258,0.0,Swimming & Diving,0.0
06dWbbEnN3yU9pjSaVtM,10/16/2023,Men,Men's Swimming & Diving,-1.4627,5068.1,-1405.471,2109.0,-0.9081,0.0,Swimming & Diving,0.0
06dWbbEnN3yU9pjSaVtM,10/16/2023,Men,Men's Swimming & Diving,-1.4627,5068.1,-1405.471,2109.0,-0.9081,0.0,Swimming & Diving,0.0
CyngK8oz6gCXAQ3oqb9q,10/9/2023,Men,Men's Swimming & Diving,-1.3891,4823.562,-1251.391,1967.0,-0.8993,0.0,Swimming & Diving,0.0
CyngK8oz6gCXAQ3oqb9q,10/9/2023,Men,Men's Swimming & Diving,-1.3891,4823.562,-1251.391,1967.0,-0.8993,0.0,Swimming & Diving,0.0
nKu5kqg8L2wRBw2zHChp,10/9/2023,Men,Men's Swimming & Diving,-1.2984,4876.604,-1170.909,1980.0,-0.8501,0.0,Swimming & Diving,0.0
nKu5kqg8L2wRBw2zHChp,10/9/2023,Men,Men's Swimming & Diving,-1.2984,4876.604,-1170.909,1980.0,-0.8501,0.0,Swimming & Diving,0.0
iwdMFJx70zXDQwMwVv3R,9/14/2023,Men,Men's Swimming & Diving,-1.3646,4760.456,-1220.217,1921.0,-0.8862,0.0,Swimming & Diving,0.0
iwdMFJx70zXDQwMwVv3R,9/14/2023,Men,Men's Swimming & Diving,-1.3646,4760.456,-1220.217,1921.0,-0.8862,0.0,Swimming & Diving,0.0
OLaR1DNLxFb3Uj92OALK,12/4/2023,Men,Men's Swimming & Diving,-1.1967,4664.02,-1017.595,1902.0,-0.786,0.0,Swimming & Diving,0.0
OLaR1DNLxFb3Uj92OALK,12/4/2023,Men,Men's Swimming & Diving,-1.1967,4664.02,-1017.595,1902.0,-0.786,0.0,Swimming & Diving,0.0
w2xwtUlNMjNR9mA6ebde,2/12/2024,Men,Men's Swimming & Diving,-1.3248,4847.267,-1228.866,2104.0,-0.8434,0.0,Swimming & Diving,0.0
w2xwtUlNMjNR9mA6ebde,2/12/2024,Men,Men's Swimming & Diving,-1.3248,4847.267,-1228.866,2104.0,-0.8434,0.0,Swimming & Diving,0.0
kkhSUV6oR0MRoVT0n3Ia,9/25/2023,Men,Men's Swimming & Diving,-1.3408,5056.865,-1216.053,1968.0,-0.8571,0.0,Swimming & Diving,0.0
kkhSUV6oR0MRoVT0n3Ia,9/25/2023,Men,Men's Swimming & Diving,-1.3408,5056.865,-1216.053,1968.0,-0.8571,0.0,Swimming & Diving,0.0
IXVwIYRwcIjCMpbYKpNn,3/11/2024,Men,Men's Swimming & Diving,-1.4612,4349.028,-1324.732,2012.0,-0.9411,0.0,Swimming & Diving,0.0
IXVwIYRwcIjCMpbYKpNn,3/11/2024,Men,Men's Swimming & Diving,-1.4612,4349.028,-1324.732,2012.0,-0.9411,0.0,Swimming & Diving,0.0
JEpmPqoReGQCzYeLFtkI,9/14/2023,Men,Men's Swimming & Diving,-1.4426,4812.082,-1275.939,1916.0,-0.905,0.0,Swimming & Diving,0.0
JEpmPqoReGQCzYeLFtkI,9/14/2023,Men,Men's Swimming & Diving,-1.4426,4812.082,-1275.939,1916.0,-0.905,0.0,Swimming & Diving,0.0
F4diLa4fgMGlrVr5ah3f,9/14/2023,Men,Men's Swimming & Diving,-1.2605,4905.062,-1064.984,1800.0,-0.7978,0.0,Swimming & Diving,0.0
F4diLa4fgMGlrVr5ah3f,9/14/2023,Men,Men's Swimming & Diving,-1.2605,4905.062,-1064.984,1800.0,-0.7978,0.0,Swimming & Diving,0.0
bHaAhp7kOeS0AERURMtM,10/30/2023,Men,Men's Swimming & Diving,-1.4286,4880.812,-1407.402,2166.0,-0.9089,0.0,Swimming & Diving,0.0
bHaAhp7kOeS0AERURMtM,10/30/2023,Men,Men's Swimming & Diving,-1.4286,4880.812,-1407.402,2166.0,-0.9089,0.0,Swimming & Diving,0.0
foKeojyvPT2AX9lqUk7a,11/27/2023,Men,Men's Swimming & Diving,-1.2735,4863.682,-1134.521,1957.0,-0.8173,0.0,Swimming & Diving,0.0
foKeojyvPT2AX9lqUk7a,11/27/2023,Men,Men's Swimming & Diving,-1.2735,4863.682,-1134.521,1957.0,-0.8173,0.0,Swimming & Diving,0.0
q8O0tjhgmxW75yCwWKH3,3/11/2024,Men,Men's Swimming & Diving,-1.3484,4595.334,-1203.128,1990.0,-0.8674,0.0,Swimming & Diving,0.0
q8O0tjhgmxW75yCwWKH3,3/11/2024,Men,Men's Swimming & Diving,-1.3484,4595.334,-1203.128,1990.0,-0.8674,0.0,Swimming & Diving,0.0
qsAXDnXAWJCG1PUEfIXu,11/14/2023,Men,Men's Swimming & Diving,-1.4914,4684.147,-1401.378,2058.0,-0.9347,0.0,Swimming & Diving,0.0
qsAXDnXAWJCG1PUEfIXu,11/14/2023,Men,Men's Swimming & Diving,-1.4914,4684.147,-1401.378,2058.0,-0.9347,0.0,Swimming & Diving,0.0
Gwx6qCOHClm9FTXmboVx,10/2/2023,Men,Men's Swimming & Diving,-1.3818,4678.513,-1241.977,1934.0,-0.9009,0.0,Swimming & Diving,0.0
Gwx6qCOHClm9FTXmboVx,10/2/2023,Men,Men's Swimming & Diving,-1.3818,4678.513,-1241.977,1934.0,-0.9009,0.0,Swimming & Diving,0.0
tH53YspFPYa3fNkCYT9T,3/14/2024,Men,Men's Swimming & Diving,-1.1973,4503.906,-993.2451,1822.0,-0.7816,0.0,Swimming & Diving,0.0
tH53YspFPYa3fNkCYT9T,3/14/2024,Men,Men's Swimming & Diving,-1.1973,4503.906,-993.2451,1822.0,-0.7816,0.0,Swimming & Diving,0.0
OIOVceV20kR6Q7AuOt8o,11/27/2023,Men,Men's Swimming & Diving,-1.3613,4947.384,-1204.062,1904.0,-0.8467,0.0,Swimming & Diving,0.0
OIOVceV20kR6Q7AuOt8o,11/27/2023,Men,Men's Swimming & Diving,-1.3613,4947.384,-1204.062,1904.0,-0.8467,0.0,Swimming & Diving,0.0
ViHeOwE9Lx1uSVO44NKi,3/18/2024,Men,Men's Swimming & Diving,-1.3509,4441.412,-1203.813,1964.0,-0.8546,0.0,Swimming & Diving,0.0
ViHeOwE9Lx1uSVO44NKi,3/18/2024,Men,Men's Swimming & Diving,-1.3509,4441.412,-1203.813,1964.0,-0.8546,0.0,Swimming & Diving,0.0
eHlXpHrnE94Yb64e6BBp,11/14/2023,Men,Men's Swimming & Diving,-1.3024,4945.784,-1153.817,1913.0,-0.8106,0.0,Swimming & Diving,0.0
eHlXpHrnE94Yb64e6BBp,11/14/2023,Men,Men's Swimming & Diving,-1.3024,4945.784,-1153.817,1913.0,-0.8106,0.0,Swimming & Diving,0.0
BfNMJWgtrIRLoVAw5d60,3/14/2024,Men,Men's Swimming & Diving,-1.4019,4346.831,-1274.027,2008.0,-0.8887,0.0,Swimming & Diving,0.0
BfNMJWgtrIRLoVAw5d60,3/14/2024,Men,Men's Swimming & Diving,-1.4019,4346.831,-1274.027,2008.0,-0.8887,0.0,Swimming & Diving,0.0
6oVFkRvYDpdl5gqOmHUZ,9/25/2023,Men,Men's Swimming & Diving,-1.3207,4915.712,-1185.777,2005.0,-0.8566,0.0,Swimming & Diving,0.0
6oVFkRvYDpdl5gqOmHUZ,9/25/2023,Men,Men's Swimming & Diving,-1.3207,4915.712,-1185.777,2005.0,-0.8566,0.0,Swimming & Diving,0.0
bbCUfkWs3FAdbvLkVYsj,3/18/2024,Men,Men's Swimming & Diving,-1.3303,4429.407,-1145.018,1890.0,-0.8413,0.0,Swimming & Diving,0.0
bbCUfkWs3FAdbvLkVYsj,3/18/2024,Men,Men's Swimming & Diving,-1.3303,4429.407,-1145.018,1890.0,-0.8413,0.0,Swimming & Diving,0.0
TnZ5f7G5HuX6h30OorH4,2/20/2024,Men,Men's Swimming & Diving,-1.9196,5277.177,-2112.178,2518.0,-1.2137,0.0,Swimming & Diving,0.0
wi1sysabZ7NUxJAgLdHX,2/5/2024,Men,Men's Swimming & Diving,-1.77,4753.493,-1796.749,2317.0,-1.1013,0.0,Swimming & Diving,0.0
NPwHLX85MIJRu5gwzt42,1/30/2024,Men,Men's Swimming & Diving,-1.8029,4623.955,-1843.173,2296.0,-1.113,0.0,Swimming & Diving,0.0
lAcvyfWthU7Z1ibgIT3T,2/5/2024,Men,Men's Swimming & Diving,-1.7108,4792.517,-1693.326,2348.0,-1.1358,0.0,Swimming & Diving,0.0
