TestId,Date,Time,mRSI,injury_log
4dTFGC47y3z797FazVOW,04-16-2024,15:27:30,0.6344,0
h1fjxtsyL4E8XuiwXkm5,03-06-2024,15:34:34,0.5977,0
lhsMUTVsFuAfaGOQQWNE,01-16-2024,15:21:15,0.6057,0
2GhCmyRG57fxuZzTe5ap,03-21-2024,15:21:04,0.6389,0
o8Mnt81RCyYhgdkE1oR4,02-01-2024,15:31:16,0.6528,0
ZB4qnmkGDN0nmQAFr8c6,02-01-2024,15:31:23,0.5935,0
WxkJCJcC5QHtgm1r4OAF,02-06-2024,15:22:27,0.5573,0
ekQ7DLDzMk9lw4dWPeJt,05-01-2024,11:57:12,0.706,0
4pw4Xpz96suFUc6mqr1e,01-25-2024,15:27:38,0.5788,0
urOA3g8IOtlYF1vMN5Ql,01-18-2024,15:22:50,0.6224,0
6L29SJorw1sR4xmuhcsB,03-14-2024,12:28:02,0.5605,0
DFEfDLauU880fQijOE8n,01-23-2024,15:24:55,0.6327,0
ZhveBKVISALlXuvVIdGF,03-19-2024,15:24:24,0.5958,0
j8aGGDcUuld1yXvzKonn,01-15-2024,15:26:19,0.5953,0
mDVahBk1U8AwyDQC01O2,02-13-2024,15:26:58,0.6498,0
jkOVs5nnw5dUSn27m6EC,02-13-2024,15:27:07,0.7021,0
tB0HGHdUUIR4N0gCBn50,02-29-2024,15:24:33,0.7,0
c4a38i41TAhU8IabpUGy,04-11-2024,15:23:06,0.6505,0
5Xmu7hdfWHVTR5aJwvUM,01-23-2024,15:25:03,0.5104,0
65JMWiIk1tBnj6f21QLa,02-08-2024,15:23:16,0.542,0
TpMmzUb5txnRV5T13y59,05-08-2024,15:16:37,0.7161,0
lTLk9s7NTnlb0x0WeZBR,01-16-2024,15:21:08,0.5414,0
82X7dyPRjGEI8zP3nzve,02-08-2024,15:23:01,0.5643,0
NluD6VGBacRlFfMgc2AE,02-08-2024,15:23:08,0.5602,0
EIHGZbeKoiucVdWjGK9y,01-15-2024,15:26:08,0.5154,0
UdAeuWJUttK3jKGtF3wf,03-07-2024,15:23:56,0.619,0
GrozlGmPgfmU5IpUX6TP,04-19-2024,14:56:55,0.6193,0
qrmrpth2W64KIc7wxyVM,05-15-2024,9:57:15,0.5593,0
bwsda85mmxJCDV60An0V,05-03-2024,13:55:21,0.5981,0
tZkX2LTzMlDP3O13QJG9,04-23-2024,15:22:57,0.6187,0
hZ7NPEUoCMYdSMZTuxsq,05-13-2024,13:11:13,0.6203,0
OEHw0jE55fCcrO0qYX7S,01-30-2024,15:23:43,0.5621,0
mgkUbQEf78Oq98g8Z4pv,05-15-2024,9:57:06,0.5771,0
W4NIIfGtpmwACUN08sPF,04-04-2024,15:24:11,0.6407,0
qUqldaVz92jsvJtdGQVI,01-30-2024,15:23:50,0.654,0
U8k5y7rNVJtAkbw4z1hr,04-08-2024,15:30:38,0.6437,0
11zC8VlkoJN49SnpD1cr,04-26-2024,15:08:21,0.7241,0
gdEA88TUIPH8M9mVUnMZ,02-15-2024,15:12:15,0.6876,0
G0y1VtwtTAwhIK45YHnk,05-01-2024,11:57:27,0.6094,0
N11CIB1Ihx50PY8xolf1,02-13-2024,15:27:27,0.5999,0
zNrRmg881RjfbX0wsKfa,01-16-2024,15:22:04,0.6695,0
Q3tFcuxWYjNf6fZelXBP,05-15-2024,9:58:10,0.5758,0
FwiRLFqtIMkIbD0Q1vLE,01-30-2024,15:24:31,0.6161,0
CdgVBWwkBOnMDlvfbe18,04-19-2024,14:57:39,0.6487,0
Db20WL822vVQylAYTKVz,02-15-2024,15:12:27,0.5957,0
TVFFeEeOBI0pCz0yqBjL,03-14-2024,12:28:27,0.6236,0
VtnpGaP3tX9zm2xR1qgz,04-16-2024,15:22:32,0.6473,0
bnnbA9aEgeRxEyZ1Eos8,03-21-2024,15:21:21,0.6975,0
VvYGgHFsZURnGY6j716n,03-28-2024,15:23:15,0.6676,0
W75IfML4z3IJc8fWbzG7,05-15-2024,9:58:19,0.6682,0
IV4j3GQJQ8POL7vh1YUZ,01-23-2024,15:25:31,0.5885,0
TzxqsK6HgVfNS9XUY9Cb,05-22-2024,9:54:22,0.5279,0
XPrs1EhGJd4kBkm7jpRd,05-22-2024,9:54:31,0.577,0
Thiqj7Bt1KocFeF8sbRa,01-16-2024,15:21:57,0.6788,0
aUNRAZvn3aLZBAlzNCNc,02-13-2024,15:27:18,0.5299,0
pv7F2sCSfhrjJXUKT27O,04-26-2024,15:08:32,0.665,0
U5UT5faon0FnK1dfnCGx,04-08-2024,15:31:02,0.6048,0
75FK7Ku1goIqpa4xVi8r,02-06-2024,15:22:38,0.5986,0
x6sWAMqOBA9uLorq4BsS,03-19-2024,15:24:47,0.6656,0
9ax1y4x4tdKL61D5FVzM,05-01-2024,11:57:39,0.6563,0
XYt2Vn5iK1Alwjo0lYPa,02-13-2024,15:27:33,0.5634,0
zQ2Ty7QeCroEc2DCVNFc,02-06-2024,15:22:45,0.5795,0
XjEHKsUxLVa07PjRWdQO,01-23-2024,15:25:23,0.6474,0
a1xV59LFbsLiF1Vkh0HP,05-13-2024,13:12:02,0.6482,0
TUeZV626gTK3r5R5h8v1,02-29-2024,15:24:53,0.6619,0
naKI1I0SYedaVnWLfC5J,02-08-2024,15:23:29,0.5911,0
xIl8MvOd8viHxVkp6fzc,01-15-2024,15:27:35,0.691,0
CcoUEn7FH1vVz3nT7h0X,02-01-2024,15:31:54,0.5935,0
ofmIzFNMZthZuIWEYKvy,01-18-2024,15:23:53,0.6574,0
UKCkTL1tANQN27DPUwL2,05-03-2024,13:56:45,0.5769,0
FPFC8R32FOBP7PxOgkZ3,05-03-2024,13:56:36,0.5501,0
Mmf9PySkk1wFTXZVSG4I,02-06-2024,15:22:54,0.5689,0
YM8MViZQEoWvQvZxBcyz,03-06-2024,15:34:51,0.6589,0
j6RAQjnUxqBDphkm9NjL,05-08-2024,15:25:34,0.5704,0
amUS5h4510mmVda2ddB7,05-08-2024,15:25:26,0.584,0
DznUp5Mw8SLLompmNSpB,01-25-2024,15:28:28,0.6282,0
AEzpdqU1cVqISy6lkSZW,02-08-2024,15:23:36,0.5672,0
UQXDcGgM8AYVK3JSR2tw,02-01-2024,15:32:02,0.5658,0
7OQeDDyyuttIPMKVbRmn,01-30-2024,15:24:23,0.6648,0
H0qV8vZEOQm7hXdywf0y,01-15-2024,15:27:23,0.6919,0
54WEMYBNsrQcC2QCqhf0,03-14-2024,12:28:16,0.6,0
z4oZuOn7wVJjhILJ77Nt,05-03-2024,13:56:57,0.6399,0
0UL9JjHrnGqXIRoZq9EF,04-11-2024,15:23:33,0.6698,0
PKgBEFk7s0nWcTRkdIju,03-26-2024,15:30:16,0.6504,0
rNL1XCtreYEVDbcRXAbt,04-23-2024,15:23:08,0.6686,0
az3SdppkqTQdPI20ORvs,01-25-2024,15:28:35,0.6301,0
fEvbDjmvxYGq4xpFtnhe,04-04-2024,15:24:26,0.6494,0
K0Jcl3SLdSA9UIEBT2dT,02-08-2024,15:23:46,0.5425,0
xrhxxtkdPT7VAyVW2Mvm,01-16-2024,15:21:38,0.5727,0
ppJcMr6YsX7PkjZtAHRz,04-26-2024,15:08:48,0.584,0
C9eKAM508n1yfAUDqg9A,03-14-2024,12:28:37,0.5696,0
YXDj89mwiPMYrmxBKzu1,02-06-2024,15:23:19,0.6097,0
pg7VFoB7IgIIANZfOZ38,02-27-2024,15:23:10,0.6206,0
gbbkhDwSBSIwUrWjXCHt,01-15-2024,15:27:49,0.6204,0
KMSWRjx9MP3QVgYo9i1v,05-03-2024,13:55:46,0.5756,0
JzAA68tnXBufj4yC9vUE,04-26-2024,15:08:58,0.5568,0
yHS0ViqxHyufhffmFxKZ,05-13-2024,13:11:27,0.558,0
vu0ygkF5I1om1FoPmspf,05-15-2024,9:57:45,0.5594,0
WDWYYCpDQSK3q6oQlAGV,01-23-2024,15:25:46,0.5745,0
XDgNSmwTB1iWK5PYQOJv,03-14-2024,12:28:58,0.5617,0
RgmEm4QbCjlM1bhXDL3L,05-03-2024,13:55:36,0.6013,0
WjiTqjSQwwMEJyPbYX9I,05-15-2024,9:57:28,0.5656,0
7QT5TUduwEN7hD5hGnvm,01-30-2024,15:24:11,0.6088,0
C9bHFXHpCPUmnq6dvowE,04-11-2024,15:23:45,0.6039,0
zkoABLJlEyYMeZ8s7IO0,01-25-2024,15:28:09,0.6054,0
IxlNndzmygBEJLmYCHuD,04-23-2024,15:23:21,0.6053,0
f6SGaxqHYPVutzvzT3PR,03-19-2024,15:25:07,0.6486,0
AY3lEVG0L5iRliubHANH,03-21-2024,15:24:28,0.6806,0
6MkaxtWxYv51TqHMiwGC,02-20-2024,15:21:46,0.7036,0
xFa24gGpq0nSt5l2Nk01,02-15-2024,15:12:46,0.6079,0
SpgZiOKz7Ir9LfXAlHI1,04-04-2024,15:24:42,0.6098,0
85qh3mRm3P3KkGkW7ppr,05-08-2024,15:18:34,0.5571,0
HBIrYkgnu35yLuiLdQZe,05-15-2024,9:57:36,0.5331,0
ebvEeaLSHMaZEvq0T7y3,01-25-2024,15:28:16,0.6083,0
mCIuT5LqL9rjLKxmT0Rr,04-16-2024,15:22:58,0.5862,0
rWvejnQ3A7xQ50S7amDo,04-19-2024,14:57:11,0.594,0
Kq5GZ6YGfruNcJIxXTTZ,03-05-2024,15:22:51,0.6371,0
yB9UWvdKAAbEz2X5p5EX,02-08-2024,15:24:02,0.5927,0
vMew5VrOGkXTbJ2VeZb2,01-23-2024,15:25:54,0.6119,0
zuia80cgwncYgtjUU3Uz,02-08-2024,15:24:09,0.5841,0
DfCDvPYA2Hydaf2tHQi1,02-01-2024,15:31:34,0.6211,0
s99ESoGAL5fekazBshwc,01-18-2024,15:24:05,0.5898,0
UZfUnUt7Cc7lJ7VxeO0d,02-29-2024,15:25:10,0.6244,0
V4kTLHbl6QptXIzjWKfR,03-26-2024,15:30:04,0.6408,0
VHQD9thFMQs8JeDqz78w,04-08-2024,15:30:52,0.6642,0
isphzCDhHql1b2IDb63K,03-07-2024,15:24:27,0.6875,0
a8hZlnL9N2X3aD2S1HyY,01-16-2024,15:21:31,0.5986,0
XNKxijOInt5Mc71Bvck6,02-27-2024,15:23:02,0.656,0
TDcyOI6ymPTPaInZYHF8,02-06-2024,15:23:06,0.65,0
FRQOyGCUBEBSmbrr6P4a,05-22-2024,9:54:56,0.545,0
ijp8pDB5ckrKfVpuQGK3,05-01-2024,11:58:03,0.546,0
i4jp3o0uZdfNjAidcR40,04-16-2024,15:22:45,0.5813,0
3cci6FSWMT5GDVLFq3Qy,05-08-2024,15:18:25,0.5792,0
IFZopxF29RF1QCrVd8UO,05-01-2024,11:58:11,0.5168,0
751DkRuI4fiJtiR3ZpP3,01-30-2024,15:24:03,0.6219,0
fB3gcaVSeVAR4OeUTOZf,02-08-2024,15:24:16,0.5738,0
DsqjiafWjXDtcNyUULmL,02-13-2024,15:27:50,0.6225,0
X21XQuyOjjfjvxOoSs0r,05-01-2024,11:57:53,0.5669,0
pME97EVBTbyvoMPBWMLY,01-15-2024,15:27:57,0.6207,0
VPxHz1OfO91OlaQMWHy4,03-28-2024,15:23:30,0.5975,0
UZaZer2nqcon60gIk0XY,05-13-2024,13:11:38,0.5697,0
CMEPDQCEFQVdblTtkheG,03-05-2024,15:23:00,0.6502,0
8u9a3SjvOE6CDZ1OiZmE,02-01-2024,15:31:42,0.5896,0
w1Gxf7dVU8VG15nZh4aP,02-06-2024,15:23:12,0.635,0
XRhErktkWGwy5dWWMhPn,05-22-2024,9:54:47,0.5278,0
4mtoEH2scTOI7JJzj4MY,02-20-2024,15:21:56,0.6325,0
5qd3Ac4Za47bTNSGNLbd,05-01-2024,11:58:49,0.5992,0
iLewCuTwfUtVPEl6kkOa,02-01-2024,15:32:21,0.6618,0
7PU3tG8OsW7hPDIxVVMd,05-22-2024,9:55:14,0.6762,0
nUae3TqIyUS8OnzZ5Qst,01-16-2024,15:22:15,0.5834,0
kt51nbRgkgrcpVn7TwwB,01-15-2024,15:28:09,0.6229,0
eGhgCzVQp5552hADyf21,03-14-2024,12:29:48,0.6159,0
Ki3i61lHO1sv5oBizujn,02-01-2024,15:32:14,0.6648,0
yFU7Efef7mGTSpT8aYzR,04-19-2024,14:57:25,0.6177,0
be6jQR3SZSizGsamje02,01-16-2024,15:22:21,0.5785,0
u2AGXeigMcWpwfaxvHXf,03-19-2024,15:25:23,0.6943,0
0jO8uvlxB7aZXYaMHSzU,05-01-2024,11:58:39,0.5473,0
9XbSgVTVyhV51Duol7n5,01-18-2024,15:24:26,0.5854,0
fZnPtYd0GCGgMFPgWorZ,05-01-2024,11:58:31,0.5579,0
a4Ya2q16InUSii1yHNf2,01-23-2024,15:26:15,0.6677,0
JcypygYKOWqWDTZB6TB6,02-08-2024,15:27:36,0.5515,0
7XoNLYB967jLqnBJDBn7,02-08-2024,15:27:44,0.5972,0
zk8t7phvdAmNT9X78EEu,01-25-2024,15:28:47,0.6478,0
gUz71RkfwOUiNH46kEJF,05-13-2024,13:12:14,0.4624,0
2wEb1royApNS95qrjtDC,05-03-2024,13:56:03,0.5428,0
L2mHppbfGxpVDWDZVF2X,03-07-2024,15:24:41,0.6975,0
2qN7e9tYFXmOuQEqHQIG,04-26-2024,15:09:08,0.6849,0
cwB6styGGb883RijleyV,05-13-2024,13:12:23,0.665,0
lyhKFykQqnGIGgR2AE21,05-03-2024,13:56:12,0.6409,0
jrOOpwQch2loL5GqNjIY,04-04-2024,15:24:58,0.6892,0
zVmojAg9ssL1AkjTj3RR,04-16-2024,15:23:11,0.715,0
wQcw3w7Z4lVmTODeDLUy,03-21-2024,15:21:48,0.6915,0
5Fuv3ZNi83fPekfywcDE,03-28-2024,15:23:43,0.6976,0
oMry3h4Q5Wsly8IoKJv6,03-07-2024,15:24:10,0.624,0
L7U2JNDbxG0nnhQBfCrr,02-08-2024,15:27:52,0.5824,0
cWtAN4grg9YcH3k3Ii4v,02-13-2024,15:28:12,0.596,0
TPDTpD2H1QSlqAzcdq5a,01-25-2024,15:28:54,0.6408,0
LQojjv69jpRzQcx4Gxv3,05-08-2024,15:28:08,0.6533,0
jSt26nk9XvmvslO4el7D,04-11-2024,15:23:56,0.6808,0
Z6ajd1jPWPL6uXjSDW1o,01-23-2024,15:26:09,0.6763,0
